,news_media,positive,neutral,negative,compound,create_date,tweets_ago
0,BBC,0.0,0.901,0.099,-0.3182,2018-08-13 18:02:07+00:00,0
1,BBC,0.105,0.895,0.0,0.25,2018-08-13 17:32:05+00:00,-1
2,BBC,0.0,1.0,0.0,0.0,2018-08-13 16:00:33+00:00,-2
3,BBC,0.0,1.0,0.0,0.0,2018-08-13 13:02:04+00:00,-3
4,BBC,0.375,0.625,0.0,0.6369,2018-08-13 12:01:01+00:00,-4
5,BBC,0.285,0.715,0.0,0.6114,2018-08-13 11:24:00+00:00,-5
6,BBC,0.0,0.64,0.36,-0.8399,2018-08-13 11:00:13+00:00,-6
7,BBC,0.266,0.734,0.0,0.6988,2018-08-13 09:50:59+00:00,-7
8,BBC,0.148,0.852,0.0,0.5093,2018-08-13 08:47:52+00:00,-8
9,BBC,0.0,1.0,0.0,0.0,2018-08-13 08:00:16+00:00,-9
10,BBC,0.153,0.565,0.282,-0.3147,2018-08-13 07:27:07+00:00,-10
11,BBC,0.242,0.758,0.0,0.1531,2018-08-13 07:01:02+00:00,-11
12,BBC,0.085,0.8,0.115,-0.1531,2018-08-12 20:01:04+00:00,-12
13,BBC,0.0,1.0,0.0,0.0,2018-08-12 19:04:02+00:00,-13
14,BBC,0.161,0.839,0.0,0.3182,2018-08-12 18:02:05+00:00,-14
15,BBC,0.0,1.0,0.0,0.0,2018-08-12 17:18:17+00:00,-15
16,BBC,0.0,1.0,0.0,0.0,2018-08-12 17:04:06+00:00,-16
17,BBC,0.0,1.0,0.0,0.0,2018-08-12 16:04:05+00:00,-17
18,BBC,0.0,1.0,0.0,0.0,2018-08-12 15:05:03+00:00,-18
19,BBC,0.0,1.0,0.0,0.0,2018-08-12 14:04:02+00:00,-19
20,BBC,0.0,0.879,0.121,-0.296,2018-08-12 13:02:03+00:00,-20
21,BBC,0.13,0.87,0.0,0.4588,2018-08-12 12:04:07+00:00,-21
